id,name,type,level,level_codes,city,state,zip_code,district,latitude,longitude,rating,rating_year,distance
631160,Harbor Springs Charter,charter,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",Julian,CA,92036,Julian Union Elementary School District,33.078651,-116.594856,3,2020,28.15429741
605936,Julian Elementary School,public,"KG,1,2,3,4,5",e,Julian,CA,92036,Julian Union Elementary School District,33.079201,-116.594528,5,2020,28.18805349
605937,Julian Junior High School,public,"6,7,8",m,Julian,CA,92036,Julian Union Elementary School District,33.079201,-116.594528,5,2020,28.18805349
606019,San Luis Rey Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92054,Oceanside Unified School District,33.220215,-117.335228,3,2020,28.33407484
632698,Scholarship Prep - Oceanside,charter,"KG,1,2,3,4,5,6,7,8","e,m",Oceanside,CA,92057,San Diego County Office Of Education School District,33.232372,-117.317001,6,2020,28.36689885
617597,Cesar Chavez Middle School,public,"6,7,8",m,Oceanside,CA,92057,Oceanside Unified School District,33.24229,-117.301041,4,2020,28.40641257
606014,Oceanside High School,public,"9,10,11,12",h,Oceanside,CA,92054,Oceanside Unified School District,33.197025,-117.374153,5,2020,28.61645644
606011,Mission Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92058,Oceanside Unified School District,33.207664,-117.362495,3,2020,28.69281817
612226,Nichols Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92057,Oceanside Unified School District,33.238499,-117.316887,4,2020,28.707495
631970,Bonsall High,public,"9,10,11,12",h,Bonsall,CA,92003,Bonsall Unified School District,33.297405,-117.175667,5,2020,28.76868965
605790,Norman L. Sullivan Middle School,public,"6,7,8",m,Bonsall,CA,92003,Bonsall Unified School District,33.297405,-117.175667,7,2020,28.76868965
606005,Jefferson Middle School,public,"6,7,8",m,Oceanside,CA,92058,Oceanside Unified School District,33.210037,-117.363342,4,2020,28.84739707
611130,Pauma Elementary School,public,"KG,1,2,3,4,5,6,7,8","e,m",Pauma Valley,CA,92061,Valley Center-Pauma Unified School District,33.315815,-116.999474,3,2020,28.85159755
605789,Bonsall Elementary School,public,"KG,1,2,3,4,5",e,Bonsall,CA,92003,Bonsall Unified School District,33.286892,-117.219475,8,2020,28.93283893
606000,Del Rio Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92057,Oceanside Unified School District,33.256699,-117.295967,4,2020,29.08593958
606008,Libby Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92057,Oceanside Unified School District,33.251762,-117.305336,4,2020,29.08959698
606007,Laurel Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92054,Oceanside Unified School District,33.207382,-117.373169,3,2020,29.09584674
617595,Louise Foussat Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92058,Oceanside Unified School District,33.23885,-117.329468,4,2020,29.15320318
614993,Bonsall West Elementary School,public,"KG,1,2,3,4,5,6",e,Oceanside,CA,92057,Bonsall Unified School District,33.264084,-117.292389,8,2020,29.41318056
606017,Reynolds Elementary School,public,"KG,1,2,3,4,5",e,Oceanside,CA,92057,Oceanside Unified School District,33.256466,-117.312729,5,2020,29.59593684
627075,Pine Valley Middle,public,"7,8",m,Pine Valley,CA,91962,Mountain Empire Unified School District,32.819557,-116.525467,3,2020,29.84719823
606012,North Terrace Elementary School,public,"KG,1,2,3,4,5,6,7,8","e,m",Oceanside,CA,92058,Oceanside Unified School District,33.218719,-117.379639,8,2020,29.92480147
606021,Santa Margarita Elementary School,public,"KG,1,2,3,4,5,6,7,8","e,m",Oceanside,CA,92058,Oceanside Unified School District,33.230938,-117.378998,8,2020,30.52775423
605988,Potrero Elementary School,public,"KG,1,2,3,4,5,6",e,Potrero,CA,91963,Mountain Empire Unified School District,32.610504,-116.61277,2,2020,31.43194229
606333,Warner Junior/Senior High School,public,"7,8,9,10,11,12","m,h",Warner Springs,CA,92086,Warner Unified School District,33.251839,-116.670265,3,2020,32.09575975
605791,Vivian Banks Charter School,charter,"KG,1,2,3,4,5",e,Pala,CA,92059,Bonsall Unified School District,33.366032,-117.073547,2,2020,32.35777399
606022,Stuart Mesa Elementary School,public,"KG,1,2,3,4,5,6,7,8","e,m",Oceanside,CA,92058,Oceanside Unified School District,33.254086,-117.408295,6,2020,32.84780096
605917,Mary Fay Pendleton Elementary School,public,"KG,1,2,3,4,5,6,7,8","e,m",Oceanside,CA,92058,Fallbrook Union Elementary School District,33.321548,-117.30146,9,2020,33.12365317
605921,Ivy High (Continuation) School,public,"9,10,11,12",h,Fallbrook,CA,92028,Fallbrook Union High School District,33.347767,-117.236427,2,2020,33.20379037
611106,Hillside Junior/Senior High School,public,"7,8,9,10,11,12","m,h",Pine Valley,CA,91962,Mountain Empire Unified School District,32.734352,-116.492943,2,2020,33.24843352
632169,County Collaborative Charter,charter,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",Pine Valley,CA,91962,Mountain Empire Unified School District,32.734352,-116.492943,3,2020,33.24843352
605979,Campo High (Continuation) School,public,"9,10,11,12",h,Pine Valley,CA,91962,Mountain Empire Unified School District,32.734352,-116.492943,1,2020,33.24843352
605984,Mountain Empire High School,public,"9,10,11,12",h,Pine Valley,CA,91962,Mountain Empire Unified School District,32.734352,-116.492943,5,2020,33.24843352
605920,Fallbrook High School,public,"9,10,11,12",h,Fallbrook,CA,92028,Fallbrook Union High School District,33.348896,-117.240051,5,2020,33.35211453
611100,Oasis High (Alternative) School,public,"9,10,11,12",h,Fallbrook,CA,92028,Fallbrook Union High School District,33.351536,-117.236641,5,2020,33.45137758
605918,James E. Potter Intermediate School,public,"7,8",m,Fallbrook,CA,92028,Fallbrook Union Elementary School District,33.367989,-117.222412,4,2020,34.24060795
632179,California Pacific Charter Schools - San Diego,charter,"KG,1,2,3,4,5,6,7,8,9,10,11,12","e,m,h",Warner Springs,CA,92086,Warner Unified School District,33.274227,-116.644112,4,2020,34.25403954
605915,Live Oak Elementary School,public,"KG,1,2,3,4,5,6",e,Fallbrook,CA,92028,Fallbrook Union Elementary School District,33.370728,-117.216492,4,2020,34.31096847
605914,La Paloma Elementary School,public,"KG,1,2,3,4,5,6",e,Fallbrook,CA,92028,Fallbrook Union Elementary School District,33.379398,-117.235046,6,2020,35.22544894
605912,Fallbrook Street Elementary School,public,"KG,1,2,3,4,5,6",e,Fallbrook,CA,92028,Fallbrook Union Elementary School District,33.377213,-117.254822,4,2020,35.48476767
611099,William H. Frazier Elementary School,public,"KG,1,2,3,4,5,6",e,Fallbrook,CA,92028,Fallbrook Union Elementary School District,33.38702,-117.224754,6,2020,35.52950091
605916,Maie Ellis Elementary,public,"KG,1,2,3,4,5,6",e,Fallbrook,CA,92028,Fallbrook Union Elementary School District,33.379829,-117.255165,5,2020,35.66024582
606304,Vallecitos Elementary School,public,"KG,1,2,3,4,5,6,7,8","e,m",Rainbow,CA,92028,Vallecitos Elementary School District,33.413502,-117.148712,6,2020,36.19053774
605980,Campo Elementary School,public,"KG,1,2,3,4,5,6,7,8","e,m",Campo,CA,91906,Mountain Empire Unified School District,32.642616,-116.486786,5,2020,36.24092485
627074,Camp Lockett Middle,public,"7,8",m,Campo,CA,91906,Mountain Empire Unified School District,32.616413,-116.476082,2,2020,37.69422434
614896,Great Oak High School,public,"9,10,11,12",h,Temecula,CA,92592,Temecula Valley Unified School District,33.451641,-117.091911,10,2020,38.34123678
611810,Helen Hunt Jackson Elementary School,public,"KG,1,2,3,4,5",e,Temecula,CA,92592,Temecula Valley Unified School District,33.459839,-117.091545,8,2020,38.90337468
617628,Temecula Luiseno Elementary School,public,"KG,1,2,3,4,5",e,Temecula,CA,92592,Temecula Valley Unified School District,33.464108,-117.106514,7,2020,39.28399344
614133,Tony Tobin Elementary School,public,"KG,1,2,3,4,5",e,Temecula,CA,92592,Temecula Valley Unified School District,33.469589,-117.067879,7,2020,39.47668361
604506,Red Hawk Elementary School,public,"KG,1,2,3,4,5",e,Temecula,CA,92592,Temecula Valley Unified School District,33.468445,-117.099236,9,2020,39.53754334
612583,Erle Stanley Gardner Middle School,public,"6,7,8",m,Temecula,CA,92592,Temecula Valley Unified School District,33.469505,-117.110756,8,2020,39.68236047
604503,Pauba Valley Elementary School,public,"KG,1,2,3,4,5",e,Temecula,CA,92592,Temecula Valley Unified School District,33.472229,-117.080856,9,2020,39.70630818
